# key,value
enemyScore,100
clearScoreThreshold,600
playerBulletSpeed,60
shotCooldownFrames,5
enemyHomingBulletSpeed,8
homingIntervalFrames,600
homingMaxDistance,3000
homingMinDistance,1000
meteoriteSpawnDistance,800
meteoriteBaseRadius,2
meteoriteMinScale,1
meteoriteMaxScale,5
enemyInitMaxOffset,4000
enemyDirChangeXMin,90
enemyDirChangeXMax,270
enemyDirChangeZMin,100
enemyDirChangeZMax,300
enemyWanderJitterMin,0.02
enemyWanderJitterMax,0.05
enemyWanderRadiusMin,1200
enemyWanderRadiusMax,2000
enemyWanderDistanceMin,900
enemyWanderDistanceMax,1500
enemyDesiredSpeedMin,0.6
enemyDesiredSpeedMax,1.4
enemyDesiredSpeedMultiplier,3.0
enemyPosSmoothFactor,0.06
enemyFacingSmoothFactor,0.04
enemyTurnSmoothFactor,0.04
playerBulletHomingHitRadius,15
enemyBulletHomingHitRadius,15
confettiSpawnInterval,3
confettiBatchCount,6
confettiLifeMin,120
confettiLifeRange,120
